PERID,GENDER,COUNTRY_OF_BIRTH,NATIONALITY,RESIGN_DATE,RESIGNED,RESIGNATION_MTH,RESIGNATION_QTR,RESIGNATION_YEAR,AGE,AGE_GROUPING,MARITAL_STATUS,RANK_GRADE,RANK_GROUPING,YEARS_IN_GRADE,STATUS,EMPLOYEE_GROUP,PARENT_SERVICE,SERVICE_SUB_AREA,SERVICE_TYPE,YEARS_OF_SERVICE,VOC,UNIT,NO_OF_KIDS,MIN_CHILD_AGE,AVE_CHILD_AGE,HSP_ESTABLISHMENT,HSP_CERTIFICATE,HSP_CERT_RANK,HSP_CERT_DESC,UPGRADED_LAST_3_YRS,UPGRADED_CERT_3_YRS,UPGRADED_CERT_DESC_3_YRS,MARRIED_WITHIN_2_YEARS,DIVORCE_WITHIN_2_YEARS,DIVORCE_REMARRIED_WITHIN_2_YEARS,PROMO_LAST_5_YRS,PROMO_LAST_4_YRS,PROMO_LAST_3_YRS,PROMO_LAST_2_YRS,PROMO_LAST_1_YR,UNIT_CHG_LAST_3_YRS,UNIT_CHG_LAST_2_YRS,UNIT_CHG_LAST_1_YR,AWARDS_RECEIVED,HOUSING_TYPE,HOUSING_GROUP,HOUSING_RANK,PREV_HOUSING_TYPE,MOVE_HOUSE_T_2,HOUSE_UPG_DGRD,IPPT_SCORE,PES_SCORE,HOMETOWORKDIST,SVC_INJURY_TYPE,TOT_PERC_INC_LAST_1_YR,BAS_PERC_INC_LAST_1_YR
10000002,Male,Singapore,Singaporean,02/05/2012,1,5,Q2,2012,47,40 and Above,Marr.,RANK 22,MIDDLE ME,2,WITHDRAWN,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,16.75,VOCATION 18,UNIT 157,2,17,18.5,Diploma,Diploma,6,TECHNICIAN DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,NO,NO,1,4-ROOM,PUBLIC,4,EXECUTIVE,YES,-2,1,3,7.17,0,-8.451437253,-15.07541308
10000004,Male,Singapore,Singaporean,NA,0,NA,NA,NA,52,40 and Above,Marr.,RANK 23,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,34.58333333,VOCATION 12,UNIT 273,1,16,16,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,7,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,1,4,5.22,0,-20.21329895,13.76169759
10000008,Male,Singapore,Singaporean,NA,0,NA,NA,NA,54,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,33.33333333,VOCATION 59,UNIT 185,2,26,26.5,Technical Education,ITE/Poly Certificate,5,MAINTENANCE FITTING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,3-ROOM,PUBLIC,3,PRIVATE NON-LANDED,YES,-4,3,1,17.23960153,0,-12.09059405,6.887772041
10000009,Male,Singapore,Singaporean,NA,0,NA,NA,NA,42,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,23.16666667,VOCATION 236,UNIT 345,2,10,13,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,YES,NO,3,EXECUTIVE,PUBLIC,6,NONE,NO,0,0,3,15.59,0,-13.67287185,7.459021833
10000010,Male,Singapore,Singaporean,NA,0,NA,NA,NA,44,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,5,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,PS (Mil),22,VOCATION 198,UNIT 326,1,13,13,University,Master,10,MASTER OF SCIENCE IN ENGINEERING SCIENCE,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,1,3,13.63,0,-12.93448945,6.945134438
10000013,Male,Singapore,Singaporean,NA,0,NA,NA,NA,42,40 and Above,Single,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,20.91666667,VOCATION 236,UNIT 265,0,0,0,Diploma,Diploma,6,DIPLOMA IN MECHANICAL ENGINEERING,YES,Diploma,SPECIALIST DIPLOMA IN LEARNING SCIENCE,NO,NO,NO,1,0,0,0,0,YES,YES,YES,1,4-ROOM,PUBLIC,4,NONE,NO,0,0,3,17.23960153,1,-15.17482586,6.679464225
10000014,Male,Singapore,Singaporean,NA,0,NA,NA,NA,41,40 and Above,Marr.,RANK 38,SENIOR OFFICER,1,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,SAVER-EOS,22.66666667,VOCATION 203,UNIT 257,3,10,11,University,Honours Degree,9,BACHELOR OF SCIENCE (FIRST CLASS HONOURS),NO,NONE,NONE,NO,NO,NO,1,1,1,1,0,YES,YES,YES,4,5-ROOM,PUBLIC,5,NONE,NO,0,0,3,28.03,0,-16.22250266,9.486130464
10000015,Male,Singapore,Singaporean,NA,0,NA,NA,NA,40,36 to 40,Marr.,RANK 38,SENIOR OFFICER,1,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,SAVER-EOS,21.33333333,VOCATION 252,UNIT 273,1,0,0,University,Pass Degree,8,BACHELOR OF BUSINESS (MERIT),NO,NONE,NONE,NO,NO,NO,1,1,1,1,0,YES,YES,NO,4,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,5,18.05,0,-8.695512791,8.782021383
10000016,Male,Singapore,Singaporean,NA,0,NA,NA,NA,40,36 to 40,Single,RANK 10,SENIOR OFFICER,1,ACTIVE,MILITARY REGULARS,SERVICE E,SERVICE C,SAVER-EOS,19.91666667,VOCATION 121,UNIT 333,0,0,0,University,Honours Degree,9,BACHELOR OF SCIENCE (FIRST CLASS HONOURS),NO,NONE,NONE,NO,NO,NO,2,2,2,1,0,YES,YES,YES,4,4-ROOM,PUBLIC,4,NONE,NO,0,3,5,27.63,0,-14.49565526,11.63866434
10000018,Male,Singapore,Singaporean,NA,0,NA,NA,NA,40,36 to 40,Marr.,RANK 27,SENIOR ME,0,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,19.08333333,VOCATION 234,UNIT 336,2,12,13,Diploma,Diploma,6,DIPLOMA IN MARINE ENGINEERING,NO,NONE,NONE,NO,NO,NO,1,1,1,1,1,YES,YES,YES,2,5-ROOM,PUBLIC,5,NONE,NO,0,2,5,16.28,0,-19.70968209,5.707364401
10000020,Male,Singapore,Singaporean,NA,0,NA,NA,NA,41,40 and Above,Marr.,RANK 12,MIDDLE OFFICER,12,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,SAVER-EOS,21.16666667,VOCATION 179,UNIT 242,0,0,0,University,Pass Degree,8,BACHELOR OF SCIENCE IN COMPUTER SCIENCE WITH MANAGEMENT,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,2,5-ROOM,PUBLIC,5,NONE,NO,0,2,5,24.67,0,-13.3164713,3.432760116
10000021,Male,Singapore,Singaporean,03/09/2012,1,9,Q3,2012,43,40 and Above,Single,RANK 10,SENIOR OFFICER,7,ACTIVE,NATIONAL SERVICEMEN,SERVICE E,SERVICE C,SAVER-EOS,24.5,VOCATION 68,UNIT 275,0,0,0,University,Master,10,MASTER OF ARTS,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,5,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,3,4,2.87,0,22.03582066,3.706480001
10000023,Male,Singapore,Singaporean,NA,0,NA,NA,NA,43,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,16.16666667,VOCATION 236,UNIT 412,1,19,19,Diploma,Diploma,6,DIPLOMA IN ELECTRONIC ENGINEERING,NO,NONE,NONE,NO,NO,NO,1,0,0,0,0,YES,NO,NO,1,4-ROOM,PUBLIC,4,NONE,NO,0,0,3,0,0,-7.5515867,7.074282479
10000024,Male,Singapore,Singaporean,NA,0,NA,NA,NA,42,40 and Above,Marr.,RANK 21,JUNIOR ME,3,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,22.33333333,VOCATION 59,UNIT 136,2,0,0,Diploma,Diploma,6,DIPLOMA IN MECHATRONICS,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,2,4-ROOM,PUBLIC,4,NONE,NO,0,3,4,24.14,0,-14.21542264,8.256869716
10000025,Male,Singapore,Singaporean,NA,0,NA,NA,NA,41,40 and Above,Marr.,RANK 22,MIDDLE ME,2,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE A,MDES,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000026,Male,Singapore,Singaporean,NA,0,NA,NA,NA,42,40 and Above,Marr.,RANK 10,SENIOR OFFICER,1,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,SAVER-EOS,21.91666667,VOCATION 121,UNIT 155,2,10,11,University,Pass Degree,8,BACHELOR OF BUSINESS ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,2,2,1,1,0,YES,YES,NO,5,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,3,4,8.41,0,-18.11428936,8.59628262
10000028,Male,Singapore,Singaporean,01/03/2013,1,3,Q1,2013,44,40 and Above,Marr.,RANK 27,SENIOR ME,2,ACTIVE,NATIONAL SERVICEMEN,SERVICE D,SERVICE C,MDES,19.83333333,VOCATION 59,UNIT 135,2,13,14.5,University,Master,10,MASTER OF BUSINESS ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,1,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,3,18.95,0,-14.63832005,5.416719209
10000029,Male,Singapore,Singaporean,NA,0,NA,NA,NA,45,40 and Above,Marr.,RANK 22,MIDDLE ME,1,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,22.16666667,VOCATION 12,UNIT 109,1,13,13,Diploma,Diploma,6,DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,1,1,1,1,0,YES,YES,NO,2,EXECUTIVE,PUBLIC,6,NONE,NO,0,0,3,9.97,0,-12.38786452,9.219741685
10000030,Male,Singapore,Singaporean,NA,0,NA,NA,NA,45,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,0,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,Full CPF (SAVER-EOS),21.83333333,VOCATION 179,UNIT 280,3,7,12,Pre University,GCE 'A' Level,6,GCE 'A' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,1,1,1,YES,YES,NO,6,LANDED,PRIVATE,8,NONE,NO,0,1,4,17.14,0,-16.46792621,4.980236266
10000031,Male,Singapore,Singaporean,NA,0,NA,NA,NA,49,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,31.83333333,VOCATION 59,UNIT 241,3,10,14.66666667,Technical Education,ITE/Poly Certificate,5,METAL MACHINING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,4,5-ROOM,PUBLIC,5,NONE,NO,0,1,1,12.27,0,-12.71559329,7.019397143
10000032,Male,Singapore,Singaporean,01/09/2013,1,9,Q3,2013,45,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,3,ACTIVE,NATIONAL SERVICEMEN,SERVICE B,SERVICE B,Full CPF (SAVER-EOS),24.16666667,VOCATION 251,UNIT 260,2,8,11.5,Diploma,Diploma,6,DIPLOMA IN MANUFACTURING ENGINEERING,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,NO,NO,NO,1,LANDED,PRIVATE,8,NONE,NO,0,3,5,23.46,0,-9.151753591,10.9482137
10000034,Male,Singapore,Singaporean,NA,0,NA,NA,NA,46,40 and Above,Marr.,RANK 10,SENIOR OFFICER,4,ACTIVE,MILITARY REGULARS,SERVICE E,SERVICE C,Full CPF (SAVER-EOS),25.91666667,VOCATION 96,UNIT 333,2,15,16,Diploma,Diploma,6,DIPLOMA IN MANUFACTURING ENGINEERING,YES,Qualification From Professional Bodies,ADVANCED COURSE IN LEARNING SCIENCE,NO,NO,NO,1,0,0,0,0,YES,YES,YES,6,5-ROOM,PUBLIC,5,PRIVATE NON-LANDED,YES,-2,3,5,17.81,1,-16.58047687,4.517835209
10000036,Male,Singapore,Singaporean,01/07/2013,1,7,Q3,2013,48,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,11,ACTIVE,NATIONAL SERVICEMEN,SERVICE B,SERVICE B,Full CPF (SAVER-EOS),26.83333333,VOCATION 252,UNIT 20,1,10,10,University,Honours Degree,9,BACHELOR OF ENGINEERING (SECOND CLASS HONOURS (LOWER)),NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,3,LANDED,PRIVATE,8,NONE,NO,0,2,3,8.56,0,1.983524734,5.000977845
10000037,Male,Singapore,Singaporean,NA,0,NA,NA,NA,48,40 and Above,Marr.,RANK 38,SENIOR OFFICER,2,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,Full CPF (SAVER-EOS),25.66666667,VOCATION 68,UNIT 422,3,11,16.66666667,Pre University,GCE 'A' Level,6,GCE 'A' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,NO,NO,NO,1,EXECUTIVE,PUBLIC,6,NONE,NO,0,3,3,25.08,0,-7.681247205,7.328379745
10000039,Male,Singapore,Singaporean,NA,0,NA,NA,NA,46,40 and Above,Marr.,RANK 5,MIDDLE WOSE,6,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE C,PP-EWOS,28.66666667,VOCATION 275,UNIT 244,2,10,15,Technical Education,ITE/Poly Certificate,5,BUSINESS AND COMMERCE,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,4-ROOM,PUBLIC,4,NONE,NO,0,1,3,10.04,0,-33.26718518,-24.00272632
10000040,Male,Singapore,Singaporean,NA,0,NA,NA,NA,49,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE C,MDES,28.83333333,VOCATION 59,UNIT 95,2,10,11.5,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,8.69,0,-0.732182946,6.62530406
10000041,Male,Singapore,Singaporean,01/07/2010,1,7,Q3,2010,42,40 and Above,Marr.,RANK 34,SENIOR OFFICER,2,ACTIVE,NATIONAL SERVICEMEN,SERVICE A,SERVICE A,SAVER-EOS,24.33333333,VOCATION 203,UNIT 296,1,15,15,University,Master,10,MASTER OF SCIENCE,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,YES,YES,6,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,4,2.25,0,0,0
10000042,Male,Singapore,Singaporean,NA,0,NA,NA,NA,46,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,29.83333333,VOCATION 59,UNIT 241,2,19,20,Technical Education,ITE/Poly Certificate,5,GENERAL FITTING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,9,EXECUTIVE,PUBLIC,6,NONE,NO,0,3,4,0,0,-4.594734512,7.046338314
10000043,Male,Singapore,Singaporean,NA,0,NA,NA,NA,45,40 and Above,Marr.,RANK 22,MIDDLE ME,2,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,22.41666667,VOCATION 59,UNIT 136,1,13,13,Secondary,GCE 'N' Level,3,GCE 'N' LEVEL,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,NO,NO,NO,1,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,0,3,9.94,0,-11.55594457,10.14343181
10000045,Male,Singapore,Singaporean,NA,0,NA,NA,NA,45,40 and Above,Single,RANK 27,SENIOR ME,3,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,25.16666667,VOCATION 234,UNIT 274,0,0,0,University,Master,10,MASTER OF BUSINESS ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,NO,NO,1,PRIVATE NON-LANDED,PRIVATE,7,PRIVATE NON-LANDED,YES,0,3,4,7.14,0,-9.942671188,7.514052738
10000046,Male,Singapore,Singaporean,NA,0,NA,NA,NA,48,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,12,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,Full CPF (SAVER-EOS),28.41666667,VOCATION 203,UNIT 265,1,11,11,University,Pass Degree,8,BACHELOR OF BUSINESS,YES,Qualification From Professional Bodies,ADVANCED COURSE IN LEARNING SCIENCE,NO,NO,NO,0,0,0,0,0,YES,YES,YES,2,EXECUTIVE,PUBLIC,6,NONE,NO,0,1,5,31.63,0,2.765167776,4.999526907
10000047,Male,Singapore,Singaporean,NA,0,NA,NA,NA,48,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,7,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,Full CPF (SAVER-EOS),26.91666667,VOCATION 127,UNIT 229,3,11,15.33333333,Pre University,GCE 'A' Level,6,GCE 'A' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,25.44,0,13.81135453,4.992789915
10000048,Male,Singapore,Singaporean,NA,0,NA,NA,NA,45,40 and Above,Marr.,RANK 38,SENIOR OFFICER,3,ACTIVE,MILITARY REGULARS,SERVICE E,SERVICE C,Full CPF (SAVER-EOS),22.66666667,VOCATION 262,UNIT 207,2,11,12.5,University,Master,10,MASTER OF SCIENCE,NO,NONE,NONE,NO,NO,NO,1,1,0,0,0,YES,YES,YES,3,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,0,4,16.73,0,-17.64165986,6.903243174
10000049,Male,Singapore,Singaporean,NA,0,NA,NA,NA,47,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,29.83333333,VOCATION 59,UNIT 330,2,13,13.5,Diploma,Diploma,6,DIPLOMA IN MECHANICAL ENGINEERING,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,5-ROOM,PUBLIC,5,NONE,NO,0,2,1,11.02,0,-20.0235972,11.36205745
10000050,Male,Singapore,Singaporean,NA,0,NA,NA,NA,46,40 and Above,Single,RANK 2,MIDDLE WOSE,2,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,28.41666667,VOCATION 2,UNIT 232,0,0,0,Diploma,Diploma,6,DIPLOMA IN BUSINESS MANAGEMENT,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,NO,NO,NO,4,3-ROOM,PUBLIC,3,5-ROOM,YES,-2,2,3,32.92,0,-30.57995,-21.41861606
10000054,Male,Singapore,Singaporean,NA,0,NA,NA,NA,44,40 and Above,Marr.,RANK 5,MIDDLE WOSE,5,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,PP-EWOS,24.66666667,VOCATION 196,UNIT 394,2,16,17.5,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,EXECUTIVE,PUBLIC,6,NONE,NO,0,3,4,24.55,0,-25.46573733,-21.19115812
10000057,Male,Singapore,Singaporean,NA,0,NA,NA,NA,44,40 and Above,Marr.,RANK 38,SENIOR OFFICER,0,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,SAVER-EOS,23.41666667,VOCATION 127,UNIT 236,1,7,7,University,Master,10,MASTER OF BUSINESS ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,1,1,1,1,1,YES,YES,YES,5,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,4,18.34,0,-22.02833385,7.093333309
10000059,Male,Singapore,Singaporean,NA,0,NA,NA,NA,41,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE A,SERVICE A,MDES,22.83333333,VOCATION 236,UNIT 44,3,2,8.333333333,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,YES,YES,NO,1,5-ROOM,PUBLIC,5,5-ROOM,YES,0,1,3,38.24,0,-13.67432991,7.344064623
10000061,Male,Singapore,Singaporean,01/10/2012,1,10,Q4,2012,41,40 and Above,Marr.,RANK 18,MIDDLE OFFICER,10,ACTIVE,NATIONAL SERVICEMEN,SERVICE D,SERVICE C,SAVER-EOS,20.08333333,VOCATION 127,UNIT 229,2,7,8.5,University,Honours Degree,9,BACHELOR OF ENGINEERING (SECOND CLASS HONOURS (UPPER)),NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,EXECUTIVE,PUBLIC,6,NONE,NO,0,0,3,4.45,0,35.18357245,2.5
10000063,Male,Singapore,Singaporean,NA,0,NA,NA,NA,42,40 and Above,Marr.,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE C,SERVICE C,MDES,22.16666667,VOCATION 157,UNIT 40,2,11,12.5,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,2,EXECUTIVE,PUBLIC,6,NONE,NO,0,2,3,21.67,0,-5.419876947,6.565519539
10000064,Male,Singapore,Singaporean,NA,0,NA,NA,NA,43,40 and Above,Single,RANK 21,JUNIOR ME,3,ACTIVE,MILITARY REGULARS,SERVICE B,SERVICE B,MDES,22.08333333,VOCATION 12,UNIT 110,0,0,0,Secondary,GCE 'O' Level,4,GCE 'O' LEVEL,NO,NONE,NONE,NO,NO,NO,1,0,0,0,0,YES,YES,NO,3,5-ROOM,PUBLIC,5,NONE,NO,0,1,3,20.18,0,-7.025103981,7.826870761
10000067,Male,Singapore,Singaporean,NA,0,NA,NA,NA,42,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,4,ACTIVE,MILITARY REGULARS,SERVICE C,SERVICE B,SAVER-EOS,24.33333333,VOCATION 252,UNIT 297,0,0,0,University,Master,10,MASTER OF SCIENCE,YES,Qualification From Professional Bodies,ADVANCED COURSE IN LEARNING SCIENCE,NO,NO,NO,1,0,0,0,0,NO,NO,NO,1,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,1,3,13.31,0,-9.182533542,10.63083606
10000069,Male,Singapore,Singaporean,NA,0,NA,NA,NA,40,36 to 40,Marr.,RANK 26,SENIOR ME,3,ACTIVE,MILITARY REGULARS,SERVICE C,SERVICE B,MDES,20.25,VOCATION 11,UNIT 291,3,3,10.33333333,University,Pass Degree,8,BACHELOR OF SCIENCE IN INFO-COMM TECHNOLOGY WITH MILITARY STUDIES,YES,Pass Degree,BACHELOR OF SCIENCE IN INFO-COMM TECHNOLOGY WITH MILITARY STUDIES,NO,NO,NO,0,0,0,0,0,YES,YES,YES,3,4-ROOM,PUBLIC,4,NONE,NO,0,1,3,23.03,0,-12.9548358,7.209790861
10000070,Male,Singapore,Singaporean,NA,0,NA,NA,NA,41,40 and Above,Marr.,RANK 17,MIDDLE OFFICER,2,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,SAVER-EOS,22.66666667,VOCATION 121,UNIT 261,3,2,8,University,Pass Degree,8,BACHELOR OF BUSINESS ADMINISTRATION,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,NO,NO,NO,2,PRIVATE NON-LANDED,PRIVATE,7,NONE,NO,0,2,4,12.89,0,-17.34898732,10.78448839
10000071,Male,Singapore,Singaporean,12/05/2010,1,5,Q2,2010,36,36 to 40,Marr.,RANK 5,MIDDLE WOSE,1,WITHDRAWN,NATIONAL SERVICEMEN,SERVICE A,SERVICE A,Premium Plan 2,17.16666667,VOCATION 187,UNIT 368,1,4,4,Technical Education,ITE/Poly Certificate,5,ELECTRONICS,NO,NONE,NONE,NO,NO,NO,2,1,1,1,0,YES,YES,NO,1,4-ROOM,PUBLIC,4,NONE,NO,0,1,4,24.55,0,0,0
10000074,Male,Singapore,Singaporean,NA,0,NA,NA,NA,49,40 and Above,Single,RANK 22,MIDDLE ME,3,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,MDES,26.66666667,VOCATION 59,UNIT 304,0,0,0,Secondary,GCE 'O' Level,4,NOT AVAILABLE,NO,NONE,NONE,NO,NO,NO,0,0,0,0,0,NO,NO,NO,1,4-ROOM,PUBLIC,4,NONE,NO,0,1,5,17.23960153,0,-17.15235257,6.528502466
10000076,Male,Singapore,Singaporean,NA,0,NA,NA,NA,50,40 and Above,Marr.,RANK 31,SENIOR WOSE,2,ACTIVE,MILITARY REGULARS,SERVICE D,SERVICE C,PP-EWOS,33.33333333,VOCATION 125,UNIT 229,3,15,17,Secondary,GCE 'O' Level,4,NOT AVAILABLE,NO,NONE,NONE,NO,NO,NO,1,1,1,0,0,YES,YES,NO,2,EXECUTIVE,PUBLIC,6,NONE,NO,0,2,1,18.01,0,-35.81452796,-22.80297209
